location_clean,price_myr,size_sqft,rooms_num,bathrooms_num,carparks_num,property_base,property_subtype,furnishing_clean
Wangsa Maju,1350000.0,2032.0,4,4,2,Condominium,Standard,Partly Furnished
KL Sentral,1200000.0,1135.0,2,2,1,Condominium,Corner,Fully Furnished
Batu Caves,600000.0,860.0,2,2,2,Serviced Residence,Intermediate,Partly Furnished
Taman Desa,718000.0,1355.0,3,2,2,Condominium,Standard,Fully Furnished
Taman Desa,620000.0,1110.0,3,2,2,Condominium,Standard,Fully Furnished
Taman Desa,600000.0,1250.0,3,2,0,Condominium,Standard,Fully Furnished
Taman Desa,1280000.0,1784.0,4,4,2,Condominium,Standard,Fully Furnished
Mont Kiara,1200000.0,1973.0,3,2,2,Condominium,Standard,Fully Furnished
Batu Caves,850000.0,1227.0,3,2,2,Serviced Residence,Corner,Partly Furnished
Batu Caves,780000.0,1109.0,3,2,2,Serviced Residence,Intermediate,Partly Furnished
Batu Caves,758000.0,1109.0,3,2,2,Serviced Residence,Intermediate,Partly Furnished
Batu Caves,778000.0,1055.0,3,2,2,Serviced Residence,Corner,Partly Furnished
Batu Caves,678000.0,861.0,2,2,2,Serviced Residence,Intermediate,Partly Furnished
Batu Caves,668000.0,1012.0,3,2,2,Serviced Residence,Corner,Fully Furnished
Batu Caves,748000.0,1109.0,3,2,2,Serviced Residence,Intermediate,Partly Furnished
Batu Caves,768000.0,1109.0,3,2,2,Serviced Residence,Intermediate,Fully Furnished
Batu Caves,748000.0,1055.0,3,2,2,Serviced Residence,Corner,Partly Furnished
Batu Caves,848000.0,1098.0,3,2,2,Serviced Residence,Intermediate,Partly Furnished
Batu Caves,838000.0,1098.0,3,2,2,Serviced Residence,Intermediate,Partly Furnished
Batu Caves,648000.0,926.0,3,2,2,Serviced Residence,Intermediate,Fully Furnished
Batu Caves,688000.0,904.0,2,2,0,Serviced Residence,Corner,Partly Furnished
Batu Caves,688000.0,904.0,2,2,2,Serviced Residence,Corner,Partly Furnished
Jalan Kuching,588000.0,1400.0,4,2,1,Condominium,Corner,Fully Furnished
Sungai Besi,619950.0,1109.0,4,2,2,Condominium,Intermediate,Partly Furnished
Sungai Besi,522000.0,935.0,3,2,2,Condominium,Intermediate,Partly Furnished
Batu Caves,778000.0,1055.0,3,2,2,Serviced Residence,Corner,Fully Furnished
Jalan Kuching,610000.0,1400.0,4,2,1,Condominium,Corner,Fully Furnished
Jalan Kuching,488000.0,1100.0,3,2,1,Condominium,Corner,Partly Furnished
Bukit Jalil,448000.0,1465.0,4,2,1,Condominium,Corner,Unfurnished
Cheras,650000.0,750.0,2,2,1,Serviced Residence,Standard,Fully Furnished
Cheras,595000.0,1456.0,3,2,1,Condominium,Standard,Fully Furnished
Taman Desa,400000.0,918.0,3,2,0,Condominium,Standard,Partly Furnished
Setapak,520000.0,1313.0,4,2,1,Condominium,Standard,Fully Furnished
Cheras,430000.0,870.0,3,2,1,Condominium,Standard,Fully Furnished
Bukit Jalil,632000.0,1234.0,3,2,0,Condominium,Standard,Partly Furnished
Bukit Jalil,630000.0,1260.0,4,3,0,Condominium,Standard,Partly Furnished
Taman Tun Dr Ismail,800000.0,1380.0,3,2,1,Condominium,Intermediate,Unfurnished
Bangsar,980000.0,1200.0,2,2,2,Condominium,Intermediate,Partly Furnished
Cheras,550000.0,962.0,2,2,1,Condominium,Standard,Partly Furnished
Cheras,920000.0,1530.0,4,3,2,Condominium,Standard,Partly Furnished
Taman Tun Dr Ismail,750000.0,1250.0,0,0,1,Condominium,Intermediate,Partly Furnished
Cheras,730000.0,1127.0,3,2,2,Condominium,Standard,Partly Furnished
Cheras,660000.0,930.0,2,2,1,Condominium,Standard,Partly Furnished
Cheras,950000.0,1527.0,4,3,2,Condominium,Standard,Partly Furnished
Cheras,650000.0,987.0,3,2,2,Condominium,Standard,Partly Furnished
Ampang,1300000.0,1733.0,4,3,2,Condominium,Intermediate,Partly Furnished
KLCC,860000.0,883.0,2,1,1,Serviced Residence,Intermediate,Fully Furnished
Ampang,1476300.0,2109.0,4,4,2,Condominium,Corner,Partly Furnished
Cheras,630000.0,985.0,2,2,1,Serviced Residence,Standard,Fully Furnished
Bukit Jalil,515000.0,1231.0,4,2,2,Condominium,Corner,Partly Furnished
KLCC,1700000.0,1184.0,2,2,0,Serviced Residence,Corner,Fully Furnished
KLCC,1650000.0,1905.0,4,4,2,Condominium,Corner,Fully Furnished
KLCC,1450000.0,1270.0,2,2,2,Condominium,Corner,Fully Furnished
KLCC,880000.0,753.0,1,1,0,Condominium,Intermediate,Fully Furnished
KLCC,1300000.0,1648.0,3,3,2,Condominium,Corner,Partly Furnished
KLCC,1200000.0,1182.0,3,3,1,Condominium,Corner,Unfurnished
Mont Kiara,1900000.0,2025.0,4,4,2,Condominium,Corner,Fully Furnished
Mont Kiara,2200000.0,2498.0,5,5,0,Condominium,Corner,Partly Furnished
Sentul,670000.0,1087.0,3,3,2,Condominium,Standard,Fully Furnished
Setapak,520000.0,1260.0,3,2,2,Serviced Residence,Intermediate,Unfurnished
Sentul,288000.0,1083.0,3,2,0,Condominium,Intermediate,Unfurnished
Taman Melawati,550000.0,1007.0,3,2,0,Serviced Residence,Intermediate,Unfurnished
Setapak,580000.0,1473.0,3,2,0,Condominium,Intermediate,Unfurnished
Kepong,350000.0,809.0,3,2,1,Condominium,Intermediate,Unfurnished
KL City,1350000.0,1453.0,3,2,2,Serviced Residence,Corner,Fully Furnished
Taman Desa,400000.0,607.0,1,1,1,Condominium,Corner,Partly Furnished
Kuchai Lama,610000.0,1450.0,4,2,2,Condominium,Standard,Fully Furnished
Taman Tun Dr Ismail,1540000.0,2000.0,5,3,0,Condominium,Standard,Partly Furnished
Jalan Ipoh,450000.0,1053.0,3,2,0,Condominium,Intermediate,Fully Furnished
Wangsa Maju,850000.0,1382.0,4,4,2,Condominium,Standard,Partly Furnished
Setapak,365000.0,856.0,2,2,2,Serviced Residence,Corner,Partly Furnished
Batu Caves,600000.0,926.0,2,2,1,Serviced Residence,Intermediate,Partly Furnished
Taman Desa,499000.0,1210.0,3,2,1,Condominium,Intermediate,Fully Furnished
Taman Desa,508000.0,1210.0,3,2,1,Condominium,Standard,Partly Furnished
Ampang,460000.0,1200.0,2,2,1,Condominium,Standard,Fully Furnished
Mont Kiara,1880000.0,2347.0,4,4,2,Condominium,Standard,Fully Furnished
Damansara Heights,1350000.0,1573.0,4,4,2,Serviced Residence,Intermediate,Partly Furnished
KL City,1000000.0,1485.0,4,3,0,Condominium,Corner,Fully Furnished
Bangsar,1160000.0,1100.0,0,0,0,Condominium,Intermediate,Fully Furnished
Batu Caves,475000.0,1088.0,3,2,1,Condominium,Intermediate,Partly Furnished
Sentul,920000.0,1381.0,4,4,2,Condominium,Corner,Unfurnished
Sentul,1380000.0,2049.0,5,5,0,Condominium,Duplex,Unfurnished
Mont Kiara,1800000.0,1496.0,4,4,2,Condominium,Corner,Partly Furnished
Taman Desa,790000.0,1400.0,3,2,1,Condominium,Standard,Fully Furnished
Sungai Besi,540000.0,1152.0,3,2,2,Condominium,Corner,Partly Furnished
Sungai Besi,535000.0,1111.0,3,2,2,Condominium,Corner,Partly Furnished
Sungai Besi,530000.0,1152.0,3,2,0,Condominium,Corner,Partly Furnished
Bukit Bintang,615000.0,650.0,1,1,0,Serviced Residence,Intermediate,Partly Furnished
Dutamas,915000.0,1450.0,3,3,2,Condominium,Standard,Fully Furnished
Jalan Klang Lama (Old Klang Road),518000.0,1200.0,3,2,1,Condominium,Intermediate,Partly Furnished
Sri Petaling,378000.0,946.0,3,2,1,Condominium,Standard,Fully Furnished
Sri Petaling,680000.0,1500.0,4,3,2,Condominium,Intermediate,Fully Furnished
KLCC,2567312.0,1006.0,2,2,1,Serviced Residence,Corner,Fully Furnished
Jalan Klang Lama (Old Klang Road),720000.0,704.0,2,2,1,Condominium,Intermediate,Fully Furnished
Ampang,860000.0,1066.0,2,2,2,Serviced Residence,Intermediate,Fully Furnished
Jalan Sultan Ismail,730000.0,924.0,2,2,1,Serviced Residence,Intermediate,Fully Furnished
Taman Desa,1030000.0,2279.0,3,3,2,Condominium,Standard,Fully Furnished
Dutamas,1175000.0,1700.0,4,4,2,Condominium,Corner,Partly Furnished
Jalan Kuching,499000.0,1100.0,3,2,1,Condominium,Intermediate,Partly Furnished
KLCC,1150000.0,1650.0,4,4,1,Condominium,Intermediate,Fully Furnished
Setapak,540000.0,1260.0,3,2,2,Serviced Residence,Standard,Partly Furnished
Setapak,419000.0,1009.0,3,2,2,Serviced Residence,Standard,Unfurnished
Setapak,399000.0,856.0,2,2,2,Serviced Residence,Standard,Partly Furnished
Setapak,530000.0,1313.0,3,2,1,Condominium,Standard,Fully Furnished
Setapak,760000.0,1800.0,3,2,2,Condominium,Standard,Unfurnished
Cheras,490000.0,1142.0,4,2,1,Condominium,Intermediate,Fully Furnished
Wangsa Maju,1200000.0,1755.0,4,4,2,Condominium,Corner,Unfurnished
Desa Pandan,800000.0,1078.0,2,2,2,Serviced Residence,Intermediate,Fully Furnished
Setapak,500000.0,1200.0,3,2,2,Condominium,Corner,Partly Furnished
Sentul,650000.0,738.0,2,2,1,Condominium,Intermediate,Partly Furnished
Ampang,1100000.0,1211.0,3,2,2,Serviced Residence,Corner,Partly Furnished
Ampang,1000000.0,1211.0,3,2,2,Serviced Residence,Corner,Partly Furnished
Ampang,1180000.0,1230.0,3,2,1,Serviced Residence,Corner,Partly Furnished
KLCC,1530000.0,1076.0,2,2,0,Serviced Residence,Standard,Fully Furnished
KLCC,2100000.0,1591.0,4,4,2,Serviced Residence,Standard,Fully Furnished
KLCC,2680000.0,1927.0,5,4,2,Serviced Residence,Corner,Partly Furnished
Sungai Besi,630000.0,1106.0,3,2,1,Condominium,Standard,Partly Furnished
Mont Kiara,1200000.0,932.0,2,2,1,Serviced Residence,Standard,Fully Furnished
KLCC,2360000.0,1076.0,2,2,1,Serviced Residence,Standard,Partly Furnished
KLCC,2900000.0,1184.0,2,2,1,Serviced Residence,Standard,Fully Furnished
KLCC,2050000.0,1087.0,2,2,1,Serviced Residence,Standard,Fully Furnished
Bukit Bintang,1500000.0,1453.0,3,2,0,Serviced Residence,Corner,Fully Furnished
Segambut,680000.0,1021.0,3,2,2,Condominium,Corner,Unfurnished
Jalan Kuching,338000.0,1025.0,3,2,1,Condominium,Intermediate,Unfurnished
Bukit Tunku (Kenny Hills),1790000.0,2207.0,4,4,2,Condominium,Standard,Partly Furnished
KLCC,2680000.0,1463.0,3,2,2,Serviced Residence,Standard,Partly Furnished
Setapak,590000.0,1950.0,3,2,0,Serviced Residence,Duplex,Partly Furnished
Setapak,640000.0,2210.0,3,2,0,Serviced Residence,Duplex,Partly Furnished
Bangsar,1250000.0,980.0,2,2,1,Serviced Residence,Corner,Unfurnished
Bandar Menjalara,450000.0,1067.0,3,2,1,Condominium,Intermediate,Partly Furnished
Bandar Menjalara,500000.0,1067.0,4,3,0,Condominium,Intermediate,Partly Furnished
Kuchai Lama,460000.0,935.0,3,2,1,Serviced Residence,Intermediate,Partly Furnished
Bukit Jalil,580000.0,1196.0,3,2,2,Condominium,Corner,Unfurnished
KLCC,1474000.0,1551.0,3,3,1,Condominium,Corner,Fully Furnished
Wangsa Maju,1380000.0,800.0,5,3,3,Condominium,Corner,Fully Furnished
Setapak,300000.0,800.0,3,2,1,Condominium,Corner,Unfurnished
Jalan Kuching,550000.0,1295.0,3,2,0,Condominium,Intermediate,Fully Furnished
City Centre,890000.0,1347.0,3,3,1,Condominium,Standard,Fully Furnished
KL City,580000.0,1100.0,3,2,1,Condominium,Standard,Unfurnished
City Centre,670000.0,1300.0,4,3,1,Condominium,Corner,Unfurnished
City Centre,710000.0,1060.0,3,2,1,Condominium,Corner,Fully Furnished
City Centre,580000.0,1068.0,3,2,1,Condominium,Corner,Fully Furnished
Cheras,445000.0,1307.0,3,2,1,Condominium,Corner,Fully Furnished
KLCC,1000000.0,1281.0,4,3,0,Serviced Residence,Corner,Partly Furnished
KLCC,905000.0,1055.0,3,3,0,Serviced Residence,Corner,Partly Furnished
KLCC,1250000.0,1701.0,4,4,0,Serviced Residence,Corner,Partly Furnished
KLCC,1100000.0,1313.0,4,3,0,Serviced Residence,Corner,Partly Furnished
KLCC,840000.0,904.0,2,1,0,Serviced Residence,Corner,Partly Furnished
KLCC,1155000.0,1701.0,4,4,0,Serviced Residence,Corner,Partly Furnished
KLCC,1060000.0,1313.0,4,3,0,Serviced Residence,Corner,Unfurnished
KLCC,900000.0,1055.0,3,3,0,Serviced Residence,Corner,Fully Furnished
KLCC,930000.0,1055.0,3,3,0,Serviced Residence,Corner,Partly Furnished
KLCC,1250000.0,1701.0,4,4,0,Serviced Residence,Corner,Partly Furnished
KLCC,1060000.0,1313.0,4,3,0,Serviced Residence,Corner,Partly Furnished
KLCC,1180000.0,1378.0,4,3,0,Serviced Residence,Corner,Partly Furnished
KLCC,900000.0,1055.0,3,3,0,Serviced Residence,Corner,Fully Furnished
KLCC,1350000.0,1701.0,4,4,0,Serviced Residence,Corner,Partly Furnished
KLCC,2100000.0,915.0,3,2,0,Condominium,Intermediate,Fully Furnished
KLCC,930000.0,1055.0,3,3,0,Serviced Residence,Corner,Fully Furnished
KLCC,900000.0,1055.0,3,3,0,Serviced Residence,Corner,Partly Furnished
Jalan Klang Lama (Old Klang Road),448000.0,775.0,1,2,1,Serviced Residence,Intermediate,Partly Furnished
KLCC,1250000.0,1378.0,4,4,0,Serviced Residence,Corner,Partly Furnished
KLCC,910000.0,1055.0,3,3,0,Serviced Residence,Corner,Partly Furnished
KLCC,1820000.0,915.0,3,2,0,Condominium,Intermediate,Fully Furnished
KLCC,1780000.0,915.0,1,1,0,Condominium,Intermediate,Fully Furnished
KLCC,1288800.0,441.0,1,1,0,Condominium,Intermediate,Fully Furnished
KLCC,1750000.0,915.0,1,1,0,Condominium,Intermediate,Fully Furnished
KLCC,1234800.0,441.0,1,1,0,Condominium,Intermediate,Fully Furnished
Setapak,600000.0,1362.0,4,3,2,Condominium,Standard,Partly Furnished
KLCC,980000.0,910.0,1,1,0,Serviced Residence,Standard,Fully Furnished
KLCC,630000.0,576.0,1,1,0,Serviced Residence,Standard,Fully Furnished
Taman Desa,430000.0,698.0,1,1,1,Condominium,Intermediate,Fully Furnished
Damansara Heights,1590000.0,2078.0,6,6,0,Serviced Residence,Standard,Fully Furnished
Damansara Heights,960000.0,828.0,1,1,0,Serviced Residence,Intermediate,Partly Furnished
Setapak,650000.0,1362.0,4,3,2,Condominium,Intermediate,Partly Furnished
KL City,550000.0,1028.0,2,2,1,Condominium,Intermediate,Fully Furnished
Jalan Klang Lama (Old Klang Road),380000.0,722.0,2,2,1,Serviced Residence,Standard,Partly Furnished
Jalan Klang Lama (Old Klang Road),350000.0,656.0,2,2,1,Serviced Residence,Standard,Partly Furnished
Jalan Klang Lama (Old Klang Road),348000.0,656.0,2,2,1,Serviced Residence,Standard,Partly Furnished
Jalan Klang Lama (Old Klang Road),440000.0,880.0,4,2,1,Serviced Residence,Standard,Partly Furnished
Jalan Klang Lama (Old Klang Road),380000.0,722.0,2,2,1,Serviced Residence,Intermediate,Partly Furnished
Jalan Klang Lama (Old Klang Road),420000.0,852.0,4,2,1,Serviced Residence,Standard,Partly Furnished
Jalan Kuching,540000.0,1009.0,3,2,1,Condominium,Intermediate,Partly Furnished
Jalan Kuching,620000.0,1009.0,3,2,1,Condominium,Intermediate,Partly Furnished
Damansara Heights,1300000.0,904.0,1,1,1,Serviced Residence,Standard,Fully Furnished
Mont Kiara,1450000.0,2163.0,4,0,0,Condominium,Standard,Fully Furnished
Jalan Klang Lama (Old Klang Road),620000.0,1362.0,4,4,3,Condominium,Standard,Partly Furnished
Jalan Klang Lama (Old Klang Road),565000.0,1298.0,4,4,1,Condominium,Standard,Partly Furnished
Jalan Klang Lama (Old Klang Road),570000.0,1298.0,4,4,1,Condominium,Corner,Unfurnished
Jalan Klang Lama (Old Klang Road),550000.0,1332.0,4,4,1,Condominium,Standard,Unfurnished
Jalan Klang Lama (Old Klang Road),570000.0,1298.0,4,4,3,Condominium,Corner,Partly Furnished
Jalan Klang Lama (Old Klang Road),568000.0,1298.0,4,4,1,Condominium,Intermediate,Partly Furnished
Dutamas,568000.0,1100.0,3,2,2,Condominium,Standard,Partly Furnished
KLCC,1850000.0,1323.0,3,2,0,Serviced Residence,Corner,Fully Furnished
KLCC,1450000.0,923.0,1,1,1,Serviced Residence,Corner,Partly Furnished
KLCC,1850000.0,1259.0,4,2,3,Serviced Residence,Standard,Fully Furnished
Bangsar,750000.0,441.0,0,1,1,Serviced Residence,Studio,Fully Furnished
Bangsar South,1100000.0,1119.0,3,3,1,Serviced Residence,Standard,Fully Furnished
KLCC,799000.0,605.0,2,1,1,Serviced Residence,Intermediate,Fully Furnished
Jalan Klang Lama (Old Klang Road),650000.0,1208.0,3,0,0,Condominium,Standard,Fully Furnished
Kuchai Lama,335000.0,969.0,3,2,1,Condominium,Corner,Fully Furnished
Cheras,500000.0,900.0,2,2,1,Condominium,Corner,Partly Furnished
Sentul,499000.0,1323.0,3,2,1,Condominium,Standard,Partly Furnished
Mont Kiara,1550000.0,2465.0,5,4,2,Condominium,Standard,Fully Furnished
Mont Kiara,890000.0,1280.0,3,2,2,Condominium,Standard,Fully Furnished
KLCC,1900000.0,2098.0,4,3,2,Condominium,Intermediate,Partly Furnished
KLCC,1600000.0,1022.0,3,2,1,Serviced Residence,Corner,Fully Furnished
KLCC,950000.0,610.0,0,1,1,Serviced Residence,Intermediate,Fully Furnished
City Centre,2000000.0,2389.0,3,2,2,Condominium,Corner,Fully Furnished
Batu Caves,530000.0,975.0,3,2,3,Serviced Residence,Standard,Partly Furnished
Ampang,650000.0,852.0,1,1,1,Serviced Residence,Intermediate,Fully Furnished
Bukit Jalil,508000.0,1003.0,3,3,2,Condominium,Standard,Partly Furnished
Jalan Klang Lama (Old Klang Road),420000.0,775.0,0,1,1,Serviced Residence,Intermediate,Partly Furnished
Seputeh,550000.0,1067.0,3,2,1,Condominium,Corner,Partly Furnished
Sungai Besi,780000.0,2100.0,5,5,0,Condominium,Penthouse,Partly Furnished
Brickfields,850000.0,1550.0,4,2,1,Condominium,Corner,Partly Furnished
Brickfields,830000.0,1520.0,4,2,1,Condominium,Standard,Fully Furnished
Brickfields,650000.0,1150.0,3,2,1,Condominium,Corner,Fully Furnished
Mont Kiara,820000.0,1550.0,4,2,1,Condominium,Corner,Fully Furnished
Desa ParkCity,1050000.0,1378.0,3,2,2,Condominium,Intermediate,Fully Furnished
KL City,698000.0,950.0,3,2,1,Serviced Residence,Corner,Fully Furnished
Kepong,395000.0,1027.0,4,3,2,Condominium,Standard,Unfurnished
Setapak,499000.0,1313.0,4,2,0,Condominium,Intermediate,Partly Furnished
Wangsa Maju,380000.0,900.0,4,2,2,Serviced Residence,Corner,Unfurnished
Wangsa Maju,388000.0,950.0,4,2,2,Serviced Residence,Corner,Partly Furnished
Setapak,550000.0,1550.0,4,2,2,Condominium,Corner,Partly Furnished
Setapak,388000.0,950.0,4,2,2,Condominium,Corner,Partly Furnished
Setiawangsa,388000.0,900.0,4,2,2,Condominium,Corner,Partly Furnished
Jalan Klang Lama (Old Klang Road),521000.0,950.0,3,2,2,Serviced Residence,Standard,Fully Furnished
Jalan Klang Lama (Old Klang Road),540000.0,645.0,2,2,1,Serviced Residence,Standard,Partly Furnished
Jalan Klang Lama (Old Klang Road),600000.0,852.0,2,2,1,Serviced Residence,Intermediate,Partly Furnished
Cheras,410000.0,825.0,2,2,2,Condominium,Standard,Partly Furnished
Cheras,425000.0,825.0,2,2,2,Condominium,Standard,Partly Furnished
Cheras,750000.0,1424.0,4,3,2,Serviced Residence,Standard,Fully Furnished
Jalan Klang Lama (Old Klang Road),670000.0,909.0,3,2,2,Serviced Residence,Standard,Partly Furnished
Cheras,450000.0,916.0,2,2,1,Serviced Residence,Standard,Partly Furnished
Wangsa Maju,1160000.0,2266.0,5,5,3,Condominium,Corner,Partly Furnished
Mont Kiara,729000.0,1000.0,2,2,1,Condominium,Corner,Fully Furnished
Mont Kiara,1350000.0,2208.0,4,4,0,Condominium,Standard,Fully Furnished
Bukit Jalil,583888.0,1073.0,3,2,2,Condominium,Intermediate,Unfurnished
Batu Caves,643000.0,1265.0,4,3,2,Serviced Residence,Corner,Fully Furnished
Kepong,455525.0,1050.0,4,2,2,Condominium,Corner,Partly Furnished
Bukit Jalil,493000.0,1239.0,4,3,2,Condominium,Standard,Unfurnished
Damansara Heights,870000.0,1516.0,3,3,1,Condominium,Standard,Partly Furnished
Damansara Heights,1200000.0,1979.0,4,3,1,Condominium,Standard,Partly Furnished
Dutamas,1200000.0,1831.0,5,3,2,Condominium,Standard,Partly Furnished
Damansara Heights,860000.0,1516.0,3,3,1,Condominium,Standard,Fully Furnished
Mont Kiara,1870000.0,1830.0,5,4,2,Condominium,Standard,Partly Furnished
Jalan Klang Lama (Old Klang Road),507000.0,1250.0,3,3,3,Condominium,Standard,Unfurnished
Sungai Besi,540000.0,1044.0,3,2,2,Condominium,Corner,Fully Furnished
Kepong,510000.0,1027.0,4,3,2,Condominium,Corner,Unfurnished
Kepong,415000.0,901.0,3,2,2,Condominium,Intermediate,Unfurnished
Kuchai Lama,448000.0,936.0,2,2,2,Condominium,Intermediate,Partly Furnished
Desa Pandan,768000.0,1076.0,2,2,2,Serviced Residence,Standard,Partly Furnished
Sentul,678000.0,999.0,3,2,1,Condominium,Corner,Fully Furnished
Bukit Bintang,1200000.0,1099.0,2,2,0,Serviced Residence,Standard,Fully Furnished
Sri Hartamas,500000.0,640.0,1,1,0,Serviced Residence,Standard,Fully Furnished
Wangsa Maju,387000.0,770.0,3,2,1,Serviced Residence,Standard,Partly Furnished
Jalan Klang Lama (Old Klang Road),550000.0,1000.0,3,2,1,Condominium,Corner,Fully Furnished
Kuchai Lama,418000.0,1100.0,3,2,1,Condominium,Intermediate,Partly Furnished
Kuchai Lama,435000.0,1000.0,3,2,1,Condominium,Corner,Partly Furnished
Kuchai Lama,438000.0,1100.0,3,2,1,Condominium,Intermediate,Partly Furnished
Kuchai Lama,388000.0,950.0,3,2,1,Condominium,Corner,Unfurnished
Sentul,1400000.0,1707.0,4,3,2,Condominium,Corner,Partly Furnished
Sungai Besi,598888.0,1074.0,3,2,3,Condominium,Intermediate,Fully Furnished
Bukit Bintang,1360000.0,1555.0,3,2,2,Serviced Residence,Standard,Fully Furnished
Jalan Sultan Ismail,440000.0,500.0,0,1,0,Serviced Residence,Studio,Fully Furnished
Setapak,500000.0,1040.0,3,2,2,Serviced Residence,Standard,Unfurnished
Bangsar,480000.0,441.0,1,1,0,Serviced Residence,Standard,Fully Furnished
Jalan Klang Lama (Old Klang Road),1280000.0,2128.0,5,4,3,Condominium,Corner,Partly Furnished
Bukit Jalil,668000.0,721.0,2,1,1,Serviced Residence,Standard,Fully Furnished
Jalan Klang Lama (Old Klang Road),680000.0,1208.0,4,2,2,Condominium,Corner,Fully Furnished
Ampang,600000.0,1485.0,3,2,0,Condominium,Standard,Partly Furnished
Jalan Klang Lama (Old Klang Road),685000.0,1208.0,4,2,2,Condominium,Corner,Fully Furnished
Cheras,268000.0,750.0,2,2,1,Condominium,Intermediate,Partly Furnished
Cheras,328000.0,1075.0,3,2,1,Condominium,Corner,Unfurnished
Cheras,463000.0,1018.0,3,2,2,Condominium,Intermediate,Unfurnished
Cheras,468000.0,1238.0,3,2,1,Condominium,Corner,Unfurnished
Cheras,418000.0,1072.0,2,2,1,Condominium,Corner,Partly Furnished
Bukit Bintang,845000.0,1600.0,3,3,2,Condominium,Intermediate,Fully Furnished
Cheras,450000.0,1000.0,3,2,2,Condominium,Intermediate,Partly Furnished
Jalan Klang Lama (Old Klang Road),648000.0,1215.0,3,2,2,Condominium,Corner,Partly Furnished
Kepong,494000.0,1300.0,3,2,0,Condominium,Corner,Unfurnished
Taman Desa,230000.0,850.0,3,2,1,Condominium,Corner,Unfurnished
Cheras,367000.0,979.0,3,2,2,Condominium,Corner,Unfurnished
Cheras,449000.0,1307.0,3,2,0,Condominium,Intermediate,Partly Furnished
Mont Kiara,1250000.0,1236.0,3,2,2,Serviced Residence,Standard,Fully Furnished
Mont Kiara,1080000.0,926.0,2,2,2,Serviced Residence,Standard,Fully Furnished
Mont Kiara,605000.0,462.0,1,1,1,Serviced Residence,Standard,Fully Furnished
KL City,507200.0,1184.0,4,2,2,Condominium,Standard,Unfurnished
Jalan Klang Lama (Old Klang Road),514800.0,1250.0,3,3,2,Condominium,Standard,Unfurnished
KL City,490000.0,1065.0,3,2,2,Condominium,Standard,Unfurnished
Bukit Bintang,3000000.0,1509.0,2,2,0,Serviced Residence,Corner,Unfurnished
City Centre,1680000.0,1442.0,3,3,2,Serviced Residence,Intermediate,Fully Furnished
Jalan Klang Lama (Old Klang Road),450000.0,950.0,3,2,2,Serviced Residence,Standard,Partly Furnished
Seputeh,750000.0,1300.0,3,2,2,Condominium,Intermediate,Fully Furnished
Bukit Jalil,868000.0,1335.0,4,3,2,Condominium,Intermediate,Fully Furnished
Taman Desa,730000.0,1355.0,3,2,2,Condominium,Intermediate,Fully Furnished
KL City,900000.0,1047.0,2,2,1,Condominium,Corner,Fully Furnished
Taman Desa,468000.0,604.0,1,2,1,Serviced Residence,Standard,Unfurnished
Sri Hartamas,430000.0,595.0,0,0,0,Serviced Residence,Studio,Fully Furnished
Mont Kiara,720000.0,913.0,2,2,2,Serviced Residence,Intermediate,Fully Furnished
Bukit Jalil,550000.0,1224.0,3,2,1,Condominium,Standard,Partly Furnished
Jalan Kuching,499000.0,1020.0,2,2,1,Condominium,Standard,Partly Furnished
Bukit Jalil,1540000.0,2021.0,4,4,3,Condominium,Corner,Unfurnished
Pantai,680000.0,1500.0,3,2,1,Condominium,Standard,Fully Furnished
Pantai,450000.0,1023.0,3,2,1,Condominium,Corner,Partly Furnished
Pantai,630000.0,1323.0,3,2,1,Condominium,Corner,Partly Furnished
Pantai,449000.0,1050.0,3,2,1,Condominium,Standard,Fully Furnished
Pantai,570000.0,1350.0,3,2,1,Condominium,Corner,Partly Furnished
Pantai,780000.0,1019.0,3,2,2,Condominium,Standard,Fully Furnished
Bangsar,600000.0,1182.0,3,0,1,Condominium,Standard,Fully Furnished
Bangsar,900000.0,1600.0,3,2,1,Condominium,Standard,Fully Furnished
Pantai,779000.0,1350.0,3,2,2,Condominium,Corner,Fully Furnished
Pantai,480000.0,1100.0,3,2,1,Condominium,Corner,Partly Furnished
Pantai,1100000.0,2200.0,3,2,2,Condominium,Standard,Partly Furnished
Pantai,1200000.0,2000.0,3,2,2,Condominium,Standard,Partly Furnished
Pantai,680000.0,1323.0,3,2,1,Condominium,Corner,Partly Furnished
Bangsar South,660000.0,820.0,2,2,1,Serviced Residence,Intermediate,Partly Furnished
Pantai,650000.0,1200.0,2,2,1,Condominium,Corner,Partly Furnished
Setapak,560000.0,1646.0,4,2,2,Condominium,Standard,Partly Furnished
Sentul,570000.0,948.0,3,2,1,Serviced Residence,Corner,Fully Furnished
Setapak,470000.0,1323.0,4,2,2,Condominium,Corner,Partly Furnished
Pantai,490000.0,1039.0,3,2,1,Condominium,Corner,Fully Furnished
Brickfields,799999.0,912.0,2,2,1,Serviced Residence,Intermediate,Fully Furnished
Jalan Ipoh,420000.0,698.0,2,1,0,Condominium,Standard,Fully Furnished
Jalan Ipoh,580000.0,911.0,3,2,2,Condominium,Standard,Partly Furnished
Jalan Ipoh,830000.0,1400.0,4,2,2,Condominium,Standard,Fully Furnished
KLCC,1198000.0,1259.0,3,2,1,Serviced Residence,Intermediate,Fully Furnished
Bukit Jalil,380000.0,1222.0,3,2,1,Condominium,Intermediate,Partly Furnished
