location_clean,price_myr,size_sqft,rooms_num,bathrooms_num,carparks_num,property_base,property_subtype,furnishing_clean
KLCC,880000.0,710.0,1,1,1,Serviced Residence,Standard,Fully Furnished
Jalan Klang Lama (Old Klang Road),655000.0,1094.0,4,2,2,Serviced Residence,Corner,Partly Furnished
Mont Kiara,1400000.0,1496.0,4,4,2,Condominium,Standard,Partly Furnished
Mont Kiara,1100000.0,1200.0,3,2,2,Condominium,Standard,Partly Furnished
KLCC,1238000.0,736.0,2,2,1,Condominium,Standard,Partly Furnished
Bangsar South,750000.0,823.0,2,2,1,Serviced Residence,Intermediate,Partly Furnished
Damansara Heights,2100000.0,2153.0,4,4,2,Condominium,Corner,Partly Furnished
Mont Kiara,1500000.0,1200.0,3,2,2,Condominium,Standard,Fully Furnished
KLCC,1000000.0,777.0,3,2,0,Serviced Residence,Standard,Partly Furnished
KLCC,990000.0,1313.0,4,3,2,Serviced Residence,Corner,Fully Furnished
KLCC,2700000.0,1184.0,2,2,2,Serviced Residence,Corner,Fully Furnished
KLCC,1900000.0,1087.0,2,2,1,Serviced Residence,Intermediate,Fully Furnished
KLCC,2050000.0,2356.0,4,5,2,Condominium,Standard,Fully Furnished
Bangsar South,1121800.0,1200.0,3,2,1,Serviced Residence,Standard,Fully Furnished
KLCC,1506300.0,1020.0,2,1,1,Serviced Residence,Intermediate,Fully Furnished
Bangsar,1530000.0,2095.0,4,3,2,Condominium,Corner,Fully Furnished
Desa ParkCity,1480000.0,1917.0,5,4,2,Condominium,Corner,Partly Furnished
Bangsar South,1050000.0,1485.0,3,2,2,Condominium,Intermediate,Fully Furnished
Klcc,1200019.0,577.0,2,2,1,Condominium,Corner,Partly Furnished
Mont Kiara,1820000.0,1830.0,5,4,2,Condominium,Corner,Partly Furnished
Mont Kiara,1420000.0,1499.0,4,4,2,Condominium,Standard,Partly Furnished
Mont Kiara,1830000.0,1832.0,5,4,2,Condominium,Standard,Partly Furnished
KLCC,1680000.0,1159.0,4,2,3,Condominium,Standard,Fully Furnished
KLCC,2210000.0,1502.0,3,3,2,Condominium,Standard,Fully Furnished
